epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.068,1.26915,4.31342,1.24776,0.15525,0.15911,0.13076,0.09179,1.17559,3.43112,1.19849,0.000166366,0.000166366,0.000166366
2,409.704,1.35574,3.65055,1.28828,0.44019,0.19289,0.18567,0.12666,1.23035,3.2087,1.20665,0.000322042,0.000322042,0.000322042
3,607.582,1.35436,3.37801,1.29088,0.29491,0.22818,0.22461,0.16417,1.20073,3.08384,1.23814,0.000466719,0.000466719,0.000466719
4,796.785,1.33841,3.15402,1.28052,0.34612,0.31577,0.29588,0.2098,1.20685,2.81068,1.20274,0.0004505,0.0004505,0.0004505
5,988.87,1.2979,2.91345,1.26811,0.5055,0.29312,0.31877,0.23881,1.15899,2.52718,1.20001,0.000434,0.000434,0.000434
6,1189.46,1.2805,2.75635,1.26491,0.56125,0.33987,0.37376,0.26218,1.17886,2.4199,1.21654,0.0004175,0.0004175,0.0004175
7,1390.97,1.24745,2.61179,1.24456,0.3782,0.45402,0.4352,0.31513,1.09969,2.16138,1.16228,0.000401,0.000401,0.000401
8,1581.37,1.2385,2.51493,1.23528,0.44994,0.4782,0.45715,0.33986,1.11102,2.05124,1.16477,0.0003845,0.0003845,0.0003845
9,1771.47,1.22467,2.39877,1.2315,0.65044,0.40639,0.46594,0.34516,1.0696,1.99727,1.13457,0.000368,0.000368,0.000368
10,1957.45,1.19916,2.34361,1.21311,0.43729,0.42164,0.42765,0.32292,1.10317,2.07335,1.18451,0.0003515,0.0003515,0.0003515
11,2145.32,1.15333,2.16989,1.1832,0.56796,0.4648,0.48919,0.36571,1.053,1.85859,1.1238,0.000335,0.000335,0.000335
12,2351.84,1.15427,2.07061,1.19052,0.54649,0.48135,0.5007,0.38011,1.01874,1.83625,1.11201,0.0003185,0.0003185,0.0003185
13,2554.88,1.12601,2.01415,1.17036,0.53962,0.49981,0.51551,0.39903,1.02791,1.77112,1.12511,0.000302,0.000302,0.000302
14,2742.75,1.08566,1.92538,1.15635,0.68822,0.45759,0.54964,0.42361,0.99083,1.6839,1.10104,0.0002855,0.0002855,0.0002855
15,2930.59,1.1096,1.88643,1.16378,0.59619,0.485,0.55397,0.42576,0.99954,1.61662,1.10251,0.000269,0.000269,0.000269
16,3119.04,1.08761,1.86423,1.14638,0.55487,0.55734,0.56745,0.43817,0.97771,1.60021,1.09953,0.0002525,0.0002525,0.0002525
17,3308.33,1.06841,1.77208,1.14193,0.60854,0.54952,0.58224,0.45081,0.96526,1.58445,1.09001,0.000236,0.000236,0.000236
18,3509.33,1.04522,1.69936,1.12887,0.65502,0.52398,0.59651,0.47041,0.94858,1.5555,1.09918,0.0002195,0.0002195,0.0002195
19,3715.85,1.00818,1.6161,1.11635,0.67561,0.56013,0.59877,0.47026,0.94756,1.48662,1.08143,0.000203,0.000203,0.000203
20,3910.82,1.03271,1.59639,1.12026,0.66275,0.55766,0.61318,0.47426,0.94032,1.45702,1.08258,0.0001865,0.0001865,0.0001865
21,4104.24,0.91726,1.4445,1.04459,0.66123,0.58471,0.6236,0.48781,0.94869,1.47491,1.08555,0.00017,0.00017,0.00017
22,4294.84,0.89421,1.34507,1.02864,0.62779,0.59237,0.6324,0.50027,0.91732,1.47723,1.0645,0.0001535,0.0001535,0.0001535
23,4481.45,0.87896,1.2791,1.02507,0.69447,0.56963,0.64535,0.50012,0.94425,1.42126,1.08578,0.000137,0.000137,0.000137
24,4674.27,0.83972,1.2164,1.0057,0.70094,0.61438,0.65357,0.51097,0.92813,1.39185,1.07284,0.0001205,0.0001205,0.0001205
25,4874.64,0.83897,1.17344,1.01149,0.69784,0.60536,0.65935,0.52172,0.91551,1.33801,1.07285,0.000104,0.000104,0.000104
26,5065.12,0.81839,1.11973,0.99248,0.73106,0.59454,0.66918,0.53036,0.90244,1.31708,1.05859,8.75e-05,8.75e-05,8.75e-05
27,5246.07,0.81621,1.1045,0.98998,0.82778,0.56503,0.68205,0.52972,0.90126,1.29083,1.05728,7.1e-05,7.1e-05,7.1e-05
28,5432.37,0.78815,1.04849,0.97911,0.79015,0.59201,0.68358,0.5491,0.88368,1.28978,1.05604,5.45e-05,5.45e-05,5.45e-05
29,5618.92,0.76695,1.01819,0.97136,0.71933,0.63868,0.68436,0.54238,0.8827,1.26698,1.04815,3.8e-05,3.8e-05,3.8e-05
30,5810.68,0.76673,1.01122,0.97032,0.77842,0.60775,0.68963,0.54792,0.86974,1.25736,1.04475,2.15e-05,2.15e-05,2.15e-05
